iter	RMSE
210	19104.3221
211	19069.47433
212	19038.45476
213	18978.92886
214	18931.68656
215	18887.35053
216	18858.99663
217	18819.81407
218	18776.83281
219	18743.35198
220	18712.87246
221	18671.51796
222	18622.33196
223	18572.34531
224	18541.91063
225	18512.9688
226	18481.63956
227	18455.1947
228	18415.92235
229	18372.97335
230	18321.11354
231	18277.42672
232	18224.47176
233	18199.84743
234	18154.06567
235	18117.6019
236	18084.41765
237	18052.97911
238	18024.19508
239	18001.32985
240	17965.33247
241	17939.52702
242	17908.33366
243	17876.37214
244	17845.94892
245	17792.30826
246	17756.21737
247	17713.68408
248	17672.14435
249	17649.2313
250	17620.09814
251	17593.09417
252	17568.72503
253	17517.57141
254	17491.52322
255	17469.69457
256	17451.26068
257	17417.06302
258	17378.03995
259	17350.72205
260	17313.99152
261	17289.7628
262	17267.26976
263	17238.75837
264	17196.04608
265	17171.40221
266	17133.78902
267	17107.43462
268	17079.83058
269	17053.91671
270	17024.6296
271	16994.36939
272	16964.89662
273	16928.21586
274	16898.35119
275	16854.2145
276	16827.07811
277	16788.63551
278	16756.36022
279	16724.25776
280	16691.19413
281	16658.60482
282	16624.37492
283	16597.01202
284	16569.86174
285	16534.81592
286	16505.10822
287	16482.60281
288	16465.90512
289	16440.15716
290	16412.81522
291	16393.32685
292	16366.21462
293	16325.48543
294	16297.59813
295	16265.92154
296	16238.68484
297	16218.23803
298	16202.66102
299	16163.33087
300	16143.34758
301	16119.09203
302	16089.61018
303	16061.70513
304	16033.69
305	16003.75856
306	15978.13024
307	15957.44988
308	15934.22965
309	15909.79996
310	15886.54499
311	15863.34829
312	15839.77584
313	15823.77183
314	15803.15988
315	15781.10553
316	15755.70641
317	15728.11689
318	15706.13807
319	15676.00891
320	15652.48095
321	15629.21017
322	15608.41475
323	15584.99802
324	15558.78557
325	15529.83965
326	15511.60042
327	15494.58005
328	15472.75164
329	15444.54982
330	15419.02693
331	15397.77876
332	15371.45981
333	15346.85351
334	15321.03148
335	15292.90329
336	15272.0065
337	15244.73537
338	15219.56188
339	15198.56296
340	15180.72316
341	15159.56845
342	15138.63793
343	15118.03297
344	15094.56862
345	15078.24704
346	15059.86325
347	15026.37129
348	15003.71128
349	14984.75497
350	14957.05335
351	14934.95549
352	14914.30474
353	14900.11532
354	14872.23508
355	14852.37646
356	14834.98004
357	14818.57259
358	14797.5975
359	14781.20841
360	14759.64191
361	14743.70372
362	14721.93382
363	14695.24498
364	14669.00259
365	14641.55779
366	14622.70915
367	14599.26731
368	14569.6219
369	14552.89335
370	14532.57878
371	14512.925
372	14494.80934
373	14476.51614
374	14463.59298
375	14445.30866
376	14422.14485
377	14399.17108
378	14384.50694
379	14368.12542
380	14344.6803
381	14322.17093
382	14303.65012
383	14283.23188
384	14265.73735
385	14247.82072
386	14224.44439
387	14204.84899
388	14183.2282
389	14164.36754
390	14143.24906
391	14120.27906
392	14102.92932
393	14082.86131
394	14065.75774
395	14053.33563
396	14037.90981
397	14022.28415
398	14002.67102
399	13992.32878
400	13976.89574
401	13960.73101
402	13938.43703
403	13920.30034
404	13895.53244
405	13866.56682
406	13843.1645
407	13821.52481
408	13800.23644
409	13789.36125
410	13777.53876
411	13765.79366
412	13756.87416
413	13741.15772
414	13722.60626
415	13704.7607
416	13688.03491
417	13662.23512
418	13648.712
419	13633.77546
420	13622.2991
421	13612.72614
422	13587.01997
423	13566.10159
424	13544.79356
425	13527.34127
426	13512.12184
427	13499.2038
428	13484.24194
429	13465.52677
430	13444.52616
431	13435.52267
432	13409.80517
433	13397.6616
434	13383.47169
435	13363.35479
436	13344.25255
437	13330.98841
438	13311.88312
439	13294.34194
440	13269.94094
441	13245.84959
442	13227.97083
443	13220.26641
444	13209.10656
445	13196.54826
446	13181.2678
447	13163.30113
448	13145.29518
449	13132.37788
450	13118.99985
451	13100.30767
452	13085.46614
453	13075.86227
454	13064.71825
455	13049.69247
456	13041.45401
457	13022.47501
458	13009.98451
459	12992.23486
460	12979.00564
461	12965.56496
462	12945.43691
463	12928.30653
464	12911.06896
465	12899.12615
466	12886.8946
467	12869.35205
468	12856.5192
469	12843.61008
470	12828.17731
471	12810.7857
472	12796.30231
473	12786.97624
474	12765.3451
475	12753.70267
476	12735.55785
477	12724.05979
478	12707.06813
479	12688.54657
480	12679.90503
481	12660.12607
482	12644.47685
483	12625.02175
484	12610.65953
485	12593.32669
486	12577.22379
487	12560.68643
488	12551.34783
489	12539.55777
490	12524.50203
491	12510.384
492	12493.70903
493	12477.59002
494	12460.42201
495	12448.96096
496	12432.86865
497	12416.67998
498	12404.13607
499	12397.77143
500	12380.63972
501	12364.63496
502	12356.70499
503	12348.64313
504	12333.14569
505	12323.75015
506	12310.51054
507	12297.14808
508	12285.05399
509	12276.87373
510	12260.48847
511	12242.68863
512	12227.68367
513	12209.35527
514	12195.41127
515	12183.63442
516	12176.68168
517	12163.69189
518	12148.78165
519	12129.58375
520	12122.20845
521	12113.87379
522	12099.78698
523	12084.41366
524	12078.57307
525	12067.79024
526	12059.28157
527	12039.18547
528	12025.15091
529	12014.26051
530	12006.38156
531	11993.27125
532	11985.81278
533	11971.66379
534	11956.13586
535	11942.79093
536	11931.66757
537	11918.48545
538	11906.29038
539	11896.51349
540	11883.67922
541	11868.89608
542	11862.5815
543	11845.52911
544	11835.30704
545	11821.07664
546	11810.38165
547	11798.16764
548	11785.08345
549	11775.67911
550	11764.61491
551	11750.05643
552	11736.41163
553	11727.48792
554	11717.18767
555	11708.60983
556	11696.20369
557	11678.19468
558	11654.7114
559	11640.93823
560	11625.724
561	11615.42636
562	11603.21174
563	11588.91264
564	11575.16254
565	11568.65849
566	11558.25507
567	11544.32815
568	11533.16778
569	11526.52257
570	11516.54306
571	11508.73893
572	11495.58915
573	11484.31603
574	11466.77769
575	11457.24305
576	11444.09248
577	11429.8319
578	11417.49206
579	11404.67168
580	11387.08432
581	11372.86494
582	11358.12897
583	11345.84348
584	11333.87012
585	11322.67699
586	11310.96609
587	11298.69661
588	11287.60292
589	11278.46498
590	11266.35666
591	11253.32257
592	11240.43617
593	11230.45375
594	11214.7661
595	11204.41278
596	11193.16418
597	11181.82567
598	11164.71862
599	11156.23183
600	11140.21195
601	11125.60788
602	11114.45461
603	11104.79689
604	11096.90645
605	11080.36616
606	11067.90205
607	11056.10113
608	11041.27636
609	11031.80661
610	11019.21018
611	11007.2447
612	11000.01562
613	10989.31654
614	10976.29802
615	10968.41149
616	10954.69013
617	10937.5798
618	10923.73848
619	10918.36422
620	10908.76939
621	10897.22699
622	10888.46414
623	10879.46291
624	10866.33343
625	10861.26172
626	10847.37857
627	10842.58303
628	10838.02686
629	10828.27497
630	10818.17239
631	10811.15125
632	10797.87509
633	10787.11907
634	10770.13569
635	10760.69738
636	10751.20609
637	10738.78391
638	10726.71401
639	10722.4066
640	10711.4721
641	10700.23849
642	10691.09738
643	10677.68672
644	10666.21526
645	10655.84268
646	10651.5429
647	10642.7322
648	10633.83965
649	10625.60101
650	10619.18907
651	10611.97078
652	10605.79553
653	10598.99849
654	10585.32233
655	10570.99564
656	10562.10222
657	10550.61651
658	10539.85615
659	10528.05478
660	10516.70704
661	10510.26131
662	10497.95253
663	10483.17774
664	10476.68563
665	10467.91388
666	10458.45643
667	10453.13532
668	10447.02772
669	10436.70378
670	10426.42667
671	10416.09428
672	10410.22155
673	10400.98379
674	10388.10762
675	10380.0095
676	10367.95484
677	10357.97229
678	10345.28013
679	10338.38669
680	10329.05657
681	10321.26309
682	10314.90933
683	10305.87243
684	10296.34736
685	10285.7588
686	10275.35723
687	10268.95088
688	10260.41416
689	10253.09285
690	10247.2674
691	10240.77156
692	10230.80498
693	10222.22849
694	10212.36872
695	10204.43092
696	10193.35161
697	10183.98112
698	10170.65413
699	10161.45685
700	10153.17929
701	10146.76708
702	10138.20531
703	10134.1018
704	10122.04759
705	10111.4566
706	10100.95432
707	10087.93114
708	10081.95286
709	10071.68497
710	10061.53144
711	10055.91851
712	10044.60045
713	10040.5379
714	10032.78258
715	10019.0174
716	10009.17838
717	9999.934704
718	9985.843177
719	9976.856004
720	9966.868986
721	9961.278329
722	9954.899845
723	9950.171359
724	9942.164087
725	9934.063828
726	9928.844422
727	9918.48076
728	9907.082664
729	9899.490246
730	9891.647195
731	9880.000871
732	9873.52714
733	9864.882852
734	9857.530937
735	9848.040945
736	9832.284477
737	9828.875312
738	9824.504487
739	9814.335928
740	9802.476963
741	9796.458334
742	9787.696006
743	9782.413516
744	9776.965825
745	9767.467287
746	9762.810982
747	9750.151048
748	9736.587124
749	9732.323061
750	9722.718548
751	9718.701167
752	9709.096961
753	9700.113101
754	9690.067283
755	9681.352371
756	9670.516051
757	9666.51867
758	9658.680078
759	9647.376561
760	9636.857392
761	9629.218109
762	9623.971083
763	9620.701921
764	9610.643059
765	9600.174046
766	9589.459202
767	9582.215712
768	9575.324874
769	9566.186065
770	9557.841801
771	9545.409678
772	9537.205476
773	9527.338005
774	9516.907242
775	9509.105114
776	9497.97891
777	9492.613156
778	9487.990048
779	9479.88742
780	9466.054904
781	9458.728626
782	9455.987021
783	9451.32057
784	9443.856384
785	9439.001773
786	9429.726308
787	9425.309644
788	9409.290455
789	9401.013219
790	9396.32433
791	9384.777706
792	9374.2299
793	9369.010669
794	9359.862169
795	9353.910115
796	9342.910866
797	9337.479354
798	9325.613595
799	9316.539624
800	9310.440182
801	9303.774121
802	9294.371848
803	9286.229271
804	9282.54828
805	9272.378101
806	9263.615294
807	9259.131373
808	9251.215606
809	9242.033877
810	9229.829913
811	9221.246644
812	9213.401517
813	9208.5431
814	9198.879112
815	9191.245573
816	9178.750522
817	9171.208488
818	9163.507499
819	9157.21826
820	9153.931621
821	9147.41857
822	9140.779039
823	9128.105754
824	9118.84099
825	9108.932168
826	9100.673053
827	9091.07963
828	9085.907037
829	9072.60493
830	9065.661108
831	9053.73693
832	9041.746604
833	9032.189655
834	9024.199943
835	9010.188074
836	9001.558721
837	8990.4462
838	8981.154181
839	8975.394458
840	8961.979518
841	8949.793213
842	8942.224297
843	8935.120574
844	8924.330764
845	8917.24968
846	8909.059886
847	8901.375086
848	8894.076578
849	8885.244093
850	8879.878773
851	8873.078515
852	8869.903095
853	8864.802942
854	8854.864334
855	8848.031187
856	8838.501277
857	8828.204653
858	8823.81136
859	8818.878864
860	8809.863011
861	8805.202867
862	8798.20354
863	8790.478422
864	8783.646293
865	8777.560945
866	8769.342254
867	8764.832964
868	8758.191118
869	8754.733493
870	8745.473646
871	8741.074353
872	8731.921342
873	8725.566202
874	8717.620361
875	8712.433101
876	8705.500845
877	8699.930586
878	8694.401523
879	8686.552366
880	8676.159607
881	8668.856046
882	8662.060111
883	8657.876051
884	8649.985235
885	8645.036126
886	8638.530595
887	8633.236538
888	8626.987055
889	8618.049253
890	8609.611095
891	8599.461098
892	8591.078305
893	8586.255888
894	8577.691336
895	8569.479125
896	8561.872543
897	8555.038311
898	8550.774959
899	8548.107453
900	8542.963075
901	8537.830514
902	8532.651038
903	8525.810745
904	8515.967417
905	8507.013642
906	8501.491789
907	8492.072732
908	8485.738646
909	8477.472545
910	8469.237951
911	8464.303014
912	8460.28368
913	8456.194904
914	8448.925082
915	8441.991616
916	8432.697312
917	8429.382856
918	8425.44216
919	8417.309039
920	8410.034562
921	8404.822032
922	8393.906656
923	8385.556446
924	8378.984386
925	8369.304109
926	8361.200011
927	8357.900402
928	8349.5852
929	8342.441991
930	8336.455213
931	8332.798094
932	8325.790198
933	8317.928054
934	8311.818426
935	8305.051687
936	8301.373281
937	8294.835121
938	8283.943488
939	8275.811921
940	8269.364421
941	8262.81774
942	8250.094263
943	8246.641211
944	8239.820018
945	8234.857238
946	8231.838235
947	8227.982176
948	8222.603894
949	8216.240087
950	8209.199331
951	8205.519052
952	8195.979486
953	8191.731507
954	8187.04351
955	8180.148134
956	8175.789794
957	8169.054148
958	8162.737122
959	8156.033576
960	8147.748211
961	8138.696286
962	8131.173745
963	8124.136305
964	8118.251038
965	8114.549151
966	8112.423894
967	8106.7763
968	8097.108476
969	8092.503226
970	8087.976286
971	8081.497839
972	8073.958685
973	8071.129204
974	8063.777218
975	8059.675381
976	8052.89863
977	8044.540368
978	8036.30492
979	8028.902374
980	8016.695187
981	8012.527463
982	8007.915449
983	8002.997863
984	7996.593099
985	7992.894379
986	7988.137531
987	7981.561218
988	7979.573246
989	7975.820459
990	7967.440849
991	7963.923364
992	7955.597332
993	7947.76227
994	7946.204978
995	7939.485602
996	7932.855338
997	7921.456915
998	7913.557276
999	7910.388825
